,User,Date Created,Number of Likes,Source of Tweet,Tweet,ReTweet Count,Reply Count,View Count
811,APPL3WH1TE,2023-03-06 22:33:28+00:00,0,Twitter for Android,Minhas queridas assim na USP ❤️☝️,0,0,164.0
812,SpicyPineAppl3,2023-03-06 22:32:21+00:00,2,Twitter for Android,What kind of person do you guys think I am? Be honest 😜,0,0,66.0
813,lawnberrys,2023-03-06 22:25:47+00:00,0,Twitter for iPhone,today i ate an appl my gf gave md and i died,0,0,24.0
814,applbappl,2023-03-06 22:25:43+00:00,0,Twitter for Android,@angeld23_ https://t.co/SBpdEGjGWl,0,0,28.0
815,ThunderousAppl4,2023-03-06 22:24:20+00:00,0,Twitter Web App,"One customer claimed people were 'fighting over the last box of cucumbers' within hours of Aldi and Tesco bringing in restrictions. 
""No lettuce or peppers either. Customers fighting over the last box of cucumbers.""
https://t.co/hZgG62tR1g",0,0,27.0
816,SpicyPineAppl3,2023-03-06 22:22:12+00:00,1,Twitter for Android,@M3SMER1ZE Fuck that's over my cut limit,0,1,19.0
817,P1nn3appl3pizz4,2023-03-06 22:22:11+00:00,1,Twitter Web App,"@BrunosBambina embrace it,embrace the cringe",0,0,46.0
818,TheCasa_KSU,2023-03-06 22:21:38+00:00,0,Twitter for iPhone,"@NFL_DovKleiman @RichEisenShow The NFL script writers concocting Tom Brady, Tyreek Hill and the Dolphins going to Arrowhead for the Thursday Night Season Opener https://t.co/Qum4bvfW8L",0,0,70.0
819,GargantuanAppl1,2023-03-06 22:21:17+00:00,2,Twitter for iPad,"But alas, after a stroll through the wilderness years, we’re about to embark on the trip of a lifetime. 

And it is gonna be fantastic 😉",0,1,96.0
820,SpicyPineAppl3,2023-03-06 22:21:05+00:00,0,Twitter for Android,@prettydollboy Thanks for reminding me that I'm single 🥲 just what I needed,0,0,5.0
821,GargantuanAppl1,2023-03-06 22:20:39+00:00,1,Twitter for iPad,"SCREAM OF THE SHALKA: 

It’s not you, it’s me. 

I don’t really vibe with this. I admire the animation and the ambition, but this characterisation of The Doctor isn’t really for me, and I find it a bit overrated…

Sorry Shalka fans https://t.co/4xLSycIY6f",0,2,82.0
822,ThunderousAppl4,2023-03-06 22:20:06+00:00,0,Twitter Web App,"Grocery prices rose 17.1% in the four weeks to 2/19, compared with the same period a year ago, according to data published by Kantar Tuesday. That’s equivalent to adding an extra £811 ($980) to a household’s average yearly grocery bill.
https://t.co/EUbv7qOJoR",1,0,30.0
823,Smith28301,2023-03-06 22:19:21+00:00,0,Twitter Web App,"Options + Stock Alerts
Discord link below

https://t.co/ZBTRgq0AN6

$APT $JAKK $DYNT $SPV $LMND $GNUS $GRAF $BIOL $NOVN $CHFS $AYRO  $CARV $SPY $SOLO $W $JAGX $INO  $BYFC $TSLA $SPCE $BOXL $AAPL $AYRO $BNGO $DKNG $APPL https://t.co/MfGFpxrHuP",0,0,156.0
824,GargantuanAppl1,2023-03-06 22:18:59+00:00,2,Twitter for iPad,"THE CURSE OF FATAL DEATH: 

Hilarious, but fascinating to watch with knowledge of where Steven Moffat eventually took the series! 

But fr, this is an absolute gem https://t.co/7PbAhE4uIe",0,1,60.0
825,markpenquino,2023-03-06 22:18:48+00:00,0,Twitter Web App,"Santoli even whispered, it does smell like a big push to get retail in... appl often does have the last gasp move. of the group",0,0,3.0
826,Crane2fer,2023-03-06 22:17:30+00:00,1,Twitter for iPhone,Ils sont fou les gens. Il s’est présenté personne là soutenu. Maintenant ça lui demande de l’aide 😮‍💨,1,0,308.0
827,P1nn3appl3pizz4,2023-03-06 22:17:18+00:00,1,Twitter Web App,@arizuume_ neru abstract nonsense vs neru whatever wathever wathever,0,0,324.0
828,qevillous,2023-03-06 22:17:06+00:00,79,Twitter Web App,friend told me to. give him an appl e https://t.co/FRIn2Yz3GY,3,1,1408.0
829,Pin3appl3boy,2023-03-06 22:15:23+00:00,0,Twitter Web App,i just found my favourite cosplayer on insta i am very happy rn :],0,0,12.0
830,highmix,2023-03-06 22:14:39+00:00,6,TweetDeck,"株式投資ブログ「かぶしきめいかいは」更新！

【保有米国株成績 3/6の成績】

反落

https://t.co/VW6S96sVHJ

#ブログ更新 #株式投資 #米国株 #nasdaq $ADBE $ETSY $VZ $AMD $U $TSLA $VIG $VTI $FCX $AI $COST $NVDA $TDOC $DOCU $SPYD $PYPL $TSM $APPL $PG $KMI",2,0,544.0
831,spunkspace,2023-03-06 22:14:06+00:00,1,Twitter for iPhone,@appl_juice42 Actually #Awesome .,0,1,204.0
832,appl3dio,2023-03-06 22:14:00+00:00,0,Twitter for iPhone,my laptop died so i went to connect my speaker to my ipad and now my speaker has died. what am i doing,0,0,331.0
833,Pin3appl3boy,2023-03-06 22:12:33+00:00,1,Twitter Web App,@Glitch_Is_Tired best of luck theseus :D,0,0,12.0
834,PeterOttavio,2023-03-06 22:12:18+00:00,6,Twitter for iPhone,"This asset has a liquidity greater than APPL, MSFT and NVDA combined. It carries an interest rate of 3.8% and has a highly likely chance of returning to All Time High within 2 years of the 10y/3 mo reversion to the mean. What asset am I? @thoughtfultrade not allowed to answer 🤫 https://t.co/eqKcVatpbw",0,5,2193.0
835,Pin3appl3boy,2023-03-06 22:12:14+00:00,0,Twitter Web App,i use insta to keep up w people by the way so dont be alarmed by my 2 posts pfft,0,0,8.0
836,ahnizieizi,2023-03-06 22:11:48+00:00,1,Twitter for iPhone,"8 álbuns p ficar doente q nem eu 

1- hospice-the antlers 
2- a crow looked at me-mount eerie
3- the glow, pt.2-the microphones 
4- the idler wheel...-fiona appl
5- mr morale &amp; the big steppers-rei 
6- oncle jazz men i t
7- in rainbows-radiohead
8- death of a party girl - tv girl",0,2,1195.0
837,Pin3appl3boy,2023-03-06 22:10:18+00:00,0,Twitter Web App,MY INSTA WORKS NOW WOOHOO,0,0,9.0
838,Pin3appl3boy,2023-03-06 22:08:29+00:00,0,Twitter Web App,its never made us do this before? https://t.co/pkFZYkaM31,0,0,11.0
839,KolhagesAppl,2023-03-06 22:08:01+00:00,2,Twitter for iPhone,You gotta LOVE this gorgeous Bosch Refrigerator. Thanks to our customer. #weloveourcustomers♥️ #livelocalbuylocalbelocal #kolhages #appliances #keywestrealestate #floridakeys #kitchendesign @BoschHomeUS https://t.co/6eoa6sY4y3,0,0,18.0
840,Pin3appl3boy,2023-03-06 22:06:10+00:00,1,Twitter Web App,@introvertedkiwi i will when i get my acc back :D,0,1,8.0
841,ThunderousAppl4,2023-03-06 22:05:44+00:00,0,Twitter Web App,"What does that tell ya?
The ride, Splash Mountain, which is now shut down for a revamped attraction that is scheduled to open in 2024, broke a Walt Disney World record on its final day of operation. https://t.co/pgibFnkfyk #FoxBusiness",0,0,29.0
842,Pin3appl3boy,2023-03-06 22:05:36+00:00,0,Twitter Web App,im sorry to moots ive given my insta because what??? https://t.co/hcWLsXQVh7,0,0,15.0
