Date,ID,username,tweet
2023-02-04 19:13:59+00:00,1621950209885605888,thechartreaders,"$GOOG - gap up Thursday and a gap down on Friday under the 200MA
Needs to recover or use the 8MA to bounce

Full Technical Analysis at: https://t.co/vmnvimcbV3
Appreciate You Subscribing and Please Don’t Hesitate to Ask Anything!!

#daytrade #swingtrade #goog #google #googstock https://t.co/O8dh0Vtxzm"
2023-02-04 18:29:10+00:00,1621938933742407680,billberg2001,"The #Stockmarket will follow through with an 86% chance of being down on monday. Short #AAPL, #Goog, #SPY"
2023-02-04 18:23:47+00:00,1621937576457166849,leoventuresllc,Google is the internet !! #google #googl #goog #stock #market #tech #technology #epic #internet #monster https://t.co/CI4PwhzSJp
2023-02-04 17:53:47+00:00,1621930027829829633,leoventuresllc,Google...What Can I Say !! #google #googl #stock #tech #internet #goog #technology #epic #monster https://t.co/HNlsu7AkPK
2023-02-04 17:07:49+00:00,1621918460321079299,smartoptseller,"Do you know what Historical &amp; Implied Volatility are?  If you're an options trader, these are must-know concepts.  What are they?  How to find them?  How to use them?  I break it down in this video: https://t.co/ssAcLORgHd
@Options_Edu @Barchart @MarketChmln 
#CSCO #CHWY #GOOG https://t.co/zyh3u6FWTl"
2023-02-04 16:00:43+00:00,1621901572727881730,Press_Reach,"Alphabet Stock $GOOG Fall As Ad Revenues Overshadow AI Promise 📉

https://t.co/cII7uD6KeS

#AlphabetStock #GOOG #stockmarket #business #investing"
2023-02-04 15:37:37+00:00,1621895760399802373,Jerry_Hug,@Lawrenc12104748 @ArtE96899797 Absolutely.  #GOOG is also being sued by DOJ for its deceptive practices in #DigitalMarketing
2023-02-04 15:12:45+00:00,1621889503362453505,Indicator_Alpha,"Tesla: New treasury ruling provides a huge boost

Read our free breakdown 👇💡👇

https://t.co/TyEmBQMl3l

$TSLA #Tesla #ElonMusk #GOOG #stocks #investing #bonds $SPY $NVDA $MSFT $GOOGL $AAPL $CRM $AMZN  #trading #inflation  #charts #newsletter #cpi #StockMarkets #elon #twitter"
2023-02-04 12:48:19+00:00,1621853155221975040,topstonks,"$GOOG was the 12th most mentioned on wallstreetbets over the last 7 daysVia https://t.co/6D4if9FJRa#goog    #wallstreetbets  #daytrading https://t.co/pnriJCQo6u"
2023-02-04 11:30:53+00:00,1621833670179823616,yashaharari,"Trading #volatility #entropy probability and statistics (VEPS) beats technical TA, because maths! Trade #btc #eth #sol #xrp #ada #usdt #usdc #crypto #spy #vix #dxy #djia #spx #qqq #vti #amzn #aapl #meta #goog #nflx ? Join the @AlphaTradingVol discord at https://t.co/igQbjIjI0e https://t.co/seVz5JIeB2"
2023-02-04 11:23:47+00:00,1621831881594474497,leoventuresllc,Google...What Can I Say !! #google #googl #stock #tech #internet #goog #technology #epic #monster https://t.co/Jm5rWNKWfo
2023-02-04 07:37:48+00:00,1621775012578328578,topstonks,"$GOOG working its way into the top 20 most mentioned on wallstreetbets over the last 7 daysVia https://t.co/6D4if9Fc1C#goog    #wallstreetbets  #investors https://t.co/KmscHAl0B7"
2023-02-04 07:17:52+00:00,1621769993556819969,topstonks,"$GOOG was the 12th most mentioned on wallstreetbets over the last 7 daysVia https://t.co/6D4if9Fc1C#goog    #wallstreetbets  #stocks https://t.co/dwAfU0qHau"
2023-02-04 05:23:47+00:00,1621741283654963200,leoventuresllc,Google is the internet !! #google #googl #goog #stock #market #tech #technology #epic #internet #monster https://t.co/COxJMQLQAY
2023-02-04 04:53:47+00:00,1621733736826953729,leoventuresllc,Google...What Can I Say !! #google #googl #stock #tech #internet #goog #technology #epic #monster https://t.co/MK6EX51Wh3
2023-02-04 04:37:33+00:00,1621729649163177985,topstonks,"$GOOG working its way into the top 20 most mentioned on wallstreetbets over the last 7 daysVia https://t.co/6D4if9Fc1C#goog    #wallstreetbets  #stockmarket https://t.co/GriNaWn3ES"
2023-02-04 03:44:36+00:00,1621716325683830785,NextStockYT,"Google $GOOG reported 1% Sales growth YoY 📈
Our new lowered ⬇️ Target Rate: $93

#NextStock #Stocks #Stock #StockMarket #StockMarkets #GOOG #Google 

Subscribe 👉🏻 https://t.co/KfLLFjJ2b7"
2023-02-04 03:37:35+00:00,1621714560204906496,topstonks,"$GOOG one of the most mentioned on wallstreetbets over the last 7 daysVia https://t.co/6D4if9Fc1C#goog    #wallstreetbets  #investing https://t.co/pURUngL2Zc"
2023-02-04 02:10:49+00:00,1621692725295710209,PaperBozz,Closed $GOOGL #GOOG position. https://t.co/1cDq7YBC8I
2023-02-04 01:17:00+00:00,1621679180738957313,topstonks,"$GOOG one of the most mentioned on wallstreetbets over the last 7 daysVia https://t.co/6D4if9Fc1C#goog    #wallstreetbets  #investors https://t.co/LKVYtnUFM3"
2023-02-04 01:15:35+00:00,1621678824357335042,beaker192,Daily chart bearish swing flagged for $GOOG on 02-03-2023 calculated after market close with unusual options flow. #bearishswing #GOOG #unusualoptionsflow #stockmarket #stocks #investing #trading https://t.co/36P4wBSPET
2023-02-04 00:15:15+00:00,1621663640477646848,RbenSil91198334,@MariusCrypt0 @SatoshiFlipper Big earnings misses for #AAPL #AMZN and #GOOG. Guess that's just trillion dolar MC companies...
